Species,Gene,Genome,Localization,Complex,FPKM
Arabidopsis_dataset3,L21,Nuclear,Mitochondria,RPL,927.05
Arabidopsis_dataset3,L22-1,Nuclear,Mitochondria,RPL,2499.16
Arabidopsis_dataset3,L23,Nuclear,Mitochondria,RPL,2624.75
Arabidopsis_dataset3,L24,Nuclear,Mitochondria,RPL,1097.25
Arabidopsis_dataset3,L27-1,Nuclear,Mitochondria,RPL,2569.98
Arabidopsis_dataset3,L27-2,Nuclear,Mitochondria,RPL,1261.2
Arabidopsis_dataset3,L28,Nuclear,Mitochondria,RPL,999.97
Arabidopsis_dataset3,L29,Nuclear,Mitochondria,RPL,984.99
Arabidopsis_dataset3,L3,Nuclear,Mitochondria,RPL,1720.01
Arabidopsis_dataset3,L30,Nuclear,Mitochondria,RPL,1432.71
Arabidopsis_dataset3,L32,Nuclear,Mitochondria,RPL,1309.26
Arabidopsis_dataset3,L33,Nuclear,Mitochondria,RPL,1004.93
Arabidopsis_dataset3,L36,Nuclear,Mitochondria,RPL,1226.68
Arabidopsis_dataset3,L4,Nuclear,Mitochondria,RPL,1321.57
Arabidopsis_dataset3,L6,Nuclear,Mitochondria,RPL,1617.46
Arabidopsis_dataset3,L7/L12-1,Nuclear,Mitochondria,RPL,6526.43
Arabidopsis_dataset3,L9,Nuclear,Mitochondria,RPL,599.06
Arabidopsis_dataset3,S10,Nuclear,Mitochondria,RPS,791.76
Arabidopsis_dataset3,S11,Nuclear,Mitochondria,RPS,1235.37
Arabidopsis_dataset3,S14,Nuclear,Mitochondria,RPS,1957.41
Arabidopsis_dataset3,S15-1,Nuclear,Mitochondria,RPS,1848.6
Arabidopsis_dataset3,S16-1,Nuclear,Mitochondria,RPS,82044.85
Arabidopsis_dataset3,S17-1,Nuclear,Mitochondria,RPS,967.71
Arabidopsis_dataset3,S18,Nuclear,Mitochondria,RPS,1876.26
Arabidopsis_dataset3,S19,Nuclear,Mitochondria,RPS,2354.76
Arabidopsis_dataset3,S2,Nuclear,Mitochondria,RPS,1257.51
Arabidopsis_dataset3,S21,Nuclear,Mitochondria,RPS,75.9
Arabidopsis_dataset3,S5,Nuclear,Mitochondria,RPS,1628.88
Arabidopsis_dataset3,S6,Nuclear,Mitochondria,RPS,1627.92
Arabidopsis_dataset3,S8,Nuclear,Mitochondria,RPS,1466.53
Arabidopsis_dataset3,S9,Nuclear,Mitochondria,RPS,816.96
Humulus,nad1,Mitochondria,Mitochondria,I,40294.8
Humulus,nad2,Mitochondria,Mitochondria,I,19067.71
Humulus,nad3,Mitochondria,Mitochondria,I,19572.08
Humulus,nad4,Mitochondria,Mitochondria,I,48826.76
Humulus,nad4L,Mitochondria,Mitochondria,I,32641.23
Humulus,nad5,Mitochondria,Mitochondria,I,48522.02
Humulus,nad6,Mitochondria,Mitochondria,I,39253.51
Humulus,nad7,Mitochondria,Mitochondria,I,106551.21
Humulus,nad9,Mitochondria,Mitochondria,I,55242
Humulus,sdh4,Mitochondria,Mitochondria,II,95246.79
Humulus,cob,Mitochondria,Mitochondria,III,95394.33
Humulus,cox1,Mitochondria,Mitochondria,IV,78825.12
Humulus,cox2,Mitochondria,Mitochondria,IV,67906.49
Humulus,cox3,Mitochondria,Mitochondria,IV,61039.12
Humulus,atp1,Mitochondria,Mitochondria,V,61953.3
Humulus,atp4,Mitochondria,Mitochondria,V,41618.43
Humulus,atp6,Mitochondria,Mitochondria,V,41793.8
Humulus,atp8,Mitochondria,Mitochondria,V,61856.19
Humulus,atp9,Mitochondria,Mitochondria,V,242764.45
Humulus,NDUFA12b,Nuclear,Mitochondria,I,2197.02
Humulus,NDUSF8b,Nuclear,Mitochondria,I,4376.1
Humulus,FPBP11,Nuclear,Mitochondria,I,3103.38
Humulus,FPBP12,Nuclear,Mitochondria,I,2818.64
Humulus,NDUFB10a,Nuclear,Mitochondria,I,1946.86
Humulus,NDUSF8a,Nuclear,Mitochondria,I,4454.25
Humulus,NDUFB7,Nuclear,Mitochondria,I,2427.03
Humulus,NDUFA9,Nuclear,Mitochondria,I,2335.49
Humulus,NDU16,Nuclear,Mitochondria,I,3749.87
Humulus,NDUFA12a,Nuclear,Mitochondria,I,2345.47
Humulus,NDUFS5b,Nuclear,Mitochondria,I,3168.58
Humulus,NDUFS6,Nuclear,Mitochondria,I,5817.42
Humulus,NDUFA11,Nuclear,Mitochondria,I,1446.3
Humulus,NDUFA8a1,Nuclear,Mitochondria,I,936.27
Humulus,NDUFA8a2,Nuclear,Mitochondria,I,687.85
Humulus,NDUFA6,Nuclear,Mitochondria,I,5598.59
Humulus,NDUFB10b,Nuclear,Mitochondria,I,2323.96
Humulus,FPBP3,Nuclear,Mitochondria,I,2684.41
Humulus,NDUFS5a,Nuclear,Mitochondria,I,2027.89
Humulus,NDUFV2,Nuclear,Mitochondria,I,2244.79
Humulus,NDUFB9,Nuclear,Mitochondria,I,5745.31
Humulus,NDUFS7,Nuclear,Mitochondria,I,9178.14
Humulus,NDUFA8b1,Nuclear,Mitochondria,I,1005.55
Humulus,NDUFA8b2,Nuclear,Mitochondria,I,886.99
Humulus,NDUFS1,Nuclear,Mitochondria,I,3736.56
Humulus,NDUFA2,Nuclear,Mitochondria,I,2961.79
Humulus,NDUFA5,Nuclear,Mitochondria,I,7726.6
Humulus,NDUFS4,Nuclear,Mitochondria,I,1679.44
Humulus,sdh3,Nuclear,Mitochondria,II,3705.55
Humulus,sdh5,Nuclear,Mitochondria,II,3072.76
Humulus,sdh1,Nuclear,Mitochondria,II,2391.14
Humulus,sdh2,Nuclear,Mitochondria,II,2681.65
Humulus,sdh6,Nuclear,Mitochondria,II,4156.01
Humulus,sdh7,Nuclear,Mitochondria,II,2254.06
Humulus,cyc1,Nuclear,Mitochondria,III,8068.13
Humulus,mppalpha,Nuclear,Mitochondria,III,1286.43
Humulus,qcr6,Nuclear,Mitochondria,III,10151.15
Humulus,qcr7,Nuclear,Mitochondria,III,16408.56
Humulus,qcr9,Nuclear,Mitochondria,III,5011.5
Humulus,ucr1,Nuclear,Mitochondria,III,5616.19
Humulus,ucrq,Nuclear,Mitochondria,III,121.54
Humulus,cox5b,Nuclear,Mitochondria,IV,1588.46
Humulus,cox5c,Nuclear,Mitochondria,IV,21275.89
Humulus,cox6a,Nuclear,Mitochondria,IV,6893.01
Humulus,cox6b,Nuclear,Mitochondria,IV,9631.52
Humulus,cox6c,Nuclear,Mitochondria,IV,17268.98
Humulus,atp15,Nuclear,Mitochondria,V,8247.82
Humulus,atp16,Nuclear,Mitochondria,V,3626.72
Humulus,atp17,Nuclear,Mitochondria,V,11299.35
Humulus,atp2,Nuclear,Mitochondria,V,9831.12
Humulus,atp3,Nuclear,Mitochondria,V,4951.78
Humulus,atp5,Nuclear,Mitochondria,V,2372.61
Humulus,atp7,Nuclear,Mitochondria,V,3610.67
Lupinus,sdh4 ,Nuclear,Mitochondria,II,1821.15
Lupinus,nad1,Mitochondria,Mitochondria,I,22133.01
Lupinus,nad2,Mitochondria,Mitochondria,I,31348.09
Lupinus,nad3,Mitochondria,Mitochondria,I,27.3
Lupinus,nad4,Mitochondria,Mitochondria,I,37157.85
Lupinus,nad4L,Mitochondria,Mitochondria,I,27424.62
Lupinus,nad5,Mitochondria,Mitochondria,I,42134.46
Lupinus,nad6,Mitochondria,Mitochondria,I,54048.58
Lupinus,nad7,Mitochondria,Mitochondria,I,84270.57
Lupinus,nad9,Mitochondria,Mitochondria,I,48049.23
Lupinus,sdh4,Mitochondria,Mitochondria,II,80224.64
Lupinus,cob,Mitochondria,Mitochondria,III,45934.74
Lupinus,cox1,Mitochondria,Mitochondria,IV,55575.6
Lupinus,cox2,Mitochondria,Mitochondria,IV,65561.47
Lupinus,cox3,Mitochondria,Mitochondria,IV,67019.96
Lupinus,atp1,Mitochondria,Mitochondria,V,125974.51
Lupinus,atp4,Mitochondria,Mitochondria,V,45794.26
Lupinus,atp6,Mitochondria,Mitochondria,V,47331.93
Lupinus,atp9,Mitochondria,Mitochondria,V,618455.74
Lupinus,NDUFA12b,Nuclear,Mitochondria,I,2291.01
Lupinus,NDUSF8b,Nuclear,Mitochondria,I,2156.62
Lupinus,FPBP11,Nuclear,Mitochondria,I,2960.31
Lupinus,FPBP12,Nuclear,Mitochondria,I,2275.17
Lupinus,NDUFB10a,Nuclear,Mitochondria,I,2133.92
Lupinus,NDUSF8a,Nuclear,Mitochondria,I,2207.64
Lupinus,NDUFB7,Nuclear,Mitochondria,I,4562.87
Lupinus,NDUFA9,Nuclear,Mitochondria,I,2971.99
Lupinus,NDU16,Nuclear,Mitochondria,I,2834.42
Lupinus,NDUFA12a,Nuclear,Mitochondria,I,2282.26
Lupinus,NDUFS5b,Nuclear,Mitochondria,I,3657.04
Lupinus,NDUFS6,Nuclear,Mitochondria,I,4106.04
Lupinus,NDUFA11,Nuclear,Mitochondria,I,4687.6
Lupinus,NDUFA8a1,Nuclear,Mitochondria,I,726.65
Lupinus,NDUFA8a2,Nuclear,Mitochondria,I,554.11
Lupinus,NDUFA1,Nuclear,Mitochondria,I,6847.27
Lupinus,NDUFA6,Nuclear,Mitochondria,I,4758.39
Lupinus,NDUFB10b,Nuclear,Mitochondria,I,3038.51
Lupinus,FPBP3,Nuclear,Mitochondria,I,2525.71
Lupinus,NDUFS5a,Nuclear,Mitochondria,I,3561.19
Lupinus,NDUFV2,Nuclear,Mitochondria,I,4425.33
Lupinus,NDUFB9,Nuclear,Mitochondria,I,7632.04
Lupinus,NDUFS7,Nuclear,Mitochondria,I,1081.73
Lupinus,NDUFA8b1,Nuclear,Mitochondria,I,517.59
Lupinus,NDUFA8b2,Nuclear,Mitochondria,I,781.05
Lupinus,NDUFS1,Nuclear,Mitochondria,I,2810.16
Lupinus,NDUFA2,Nuclear,Mitochondria,I,3491.92
Lupinus,NDUFA5,Nuclear,Mitochondria,I,7190.87
Lupinus,NDUFS4,Nuclear,Mitochondria,I,2560.91
Lupinus,sdh5,Nuclear,Mitochondria,II,2435.96
Lupinus,sdh3,Nuclear,Mitochondria,II,1936.17
Lupinus,sdh1,Nuclear,Mitochondria,II,2392.22
Lupinus,sdh2,Nuclear,Mitochondria,II,4109.99
Lupinus,sdh6,Nuclear,Mitochondria,II,3244.71
Lupinus,sdh7,Nuclear,Mitochondria,II,5416.3
Lupinus,cyc1,Nuclear,Mitochondria,III,2808.57
Lupinus,mppalpha,Nuclear,Mitochondria,III,1124.43
Lupinus,qcr6,Nuclear,Mitochondria,III,3303.4
Lupinus,qcr7,Nuclear,Mitochondria,III,5552.54
Lupinus,qcr9,Nuclear,Mitochondria,III,9424.14
Lupinus,ucr1,Nuclear,Mitochondria,III,5540.1
Lupinus,ucrq,Nuclear,Mitochondria,III,16102.77
Lupinus,cox5b,Nuclear,Mitochondria,IV,8336.42
Lupinus,cox5c,Nuclear,Mitochondria,IV,15499.47
Lupinus,cox6a,Nuclear,Mitochondria,IV,7492.82
Lupinus,cox6b,Nuclear,Mitochondria,IV,9157.89
Lupinus,cox6c,Nuclear,Mitochondria,IV,25.37
Lupinus,atp15,Nuclear,Mitochondria,V,12905.77
Lupinus,atp16,Nuclear,Mitochondria,V,5434.27
Lupinus,atp17,Nuclear,Mitochondria,V,15035.68
Lupinus,atp2,Nuclear,Mitochondria,V,19768.11
Lupinus,atp3,Nuclear,Mitochondria,V,9223.63
Lupinus,atp5,Nuclear,Mitochondria,V,11894.6
Lupinus,atp7,Nuclear,Mitochondria,V,8941.76
Nicotiana,nad2,Mitochondria,Mitochondria,I,42396.31
Nicotiana,nad3,Mitochondria,Mitochondria,I,26298.34
Nicotiana,nad4,Mitochondria,Mitochondria,I,26623.75
Nicotiana,nad4L,Mitochondria,Mitochondria,I,40280.73
Nicotiana,nad5,Mitochondria,Mitochondria,I,56322.18
Nicotiana,nad6,Mitochondria,Mitochondria,I,30738.3
Nicotiana,nad7,Mitochondria,Mitochondria,I,59817.41
Nicotiana,nad9,Mitochondria,Mitochondria,I,63501
Nicotiana,sdh3,Mitochondria,Mitochondria,II,44191.24
Nicotiana,sdh4,Mitochondria,Mitochondria,II,65412.31
Nicotiana,cob,Mitochondria,Mitochondria,III,37582.95
Nicotiana,cox1,Mitochondria,Mitochondria,IV,126837.73
Nicotiana,cox2,Mitochondria,Mitochondria,IV,118949.82
Nicotiana,cox3,Mitochondria,Mitochondria,IV,38720.37
Nicotiana,atp1,Mitochondria,Mitochondria,V,75742.14
Nicotiana,atp4,Mitochondria,Mitochondria,V,87150.18
Nicotiana,atp6,Mitochondria,Mitochondria,V,73450.22
Nicotiana,atp8,Mitochondria,Mitochondria,V,32108.44
Nicotiana,atp9,Mitochondria,Mitochondria,V,120806.49
Nicotiana,NDUFA12b,Nuclear,Mitochondria,I,1126.91
Nicotiana,NDUSF8b,Nuclear,Mitochondria,I,420.92
Nicotiana,FPBP11,Nuclear,Mitochondria,I,863.22
Nicotiana,FPBP12,Nuclear,Mitochondria,I,799.91
Nicotiana,NDUFB10a,Nuclear,Mitochondria,I,729.23
Nicotiana,NDUSF8a,Nuclear,Mitochondria,I,457.21
Nicotiana,NDUFB7,Nuclear,Mitochondria,I,433.29
Nicotiana,NDUFA9,Nuclear,Mitochondria,I,1385.89
Nicotiana,NDU16,Nuclear,Mitochondria,I,483.91
Nicotiana,NDUFA12a,Nuclear,Mitochondria,I,1143.12
Nicotiana,NDUFS5b,Nuclear,Mitochondria,I,277.47
Nicotiana,NDUFS6,Nuclear,Mitochondria,I,1010.19
Nicotiana,NDUFA11,Nuclear,Mitochondria,I,647.46
Nicotiana,NDUFA8a1,Nuclear,Mitochondria,I,490.49
Nicotiana,NDUFA8a2,Nuclear,Mitochondria,I,256.18
Nicotiana,NDUFA1,Nuclear,Mitochondria,I,1406.1
Nicotiana,NDUFA6,Nuclear,Mitochondria,I,542.29
Nicotiana,NDUFB10b,Nuclear,Mitochondria,I,956.65
Nicotiana,FPBP3,Nuclear,Mitochondria,I,640.53
Nicotiana,NDUFS5a,Nuclear,Mitochondria,I,307.47
Nicotiana,NDUFV2,Nuclear,Mitochondria,I,1001.98
Nicotiana,NDUFB9,Nuclear,Mitochondria,I,545.4
Nicotiana,NDUFS7,Nuclear,Mitochondria,I,1533.17
Nicotiana,NDUFA8b1,Nuclear,Mitochondria,I,326.63
Nicotiana,NDUFA8b2,Nuclear,Mitochondria,I,526.97
Nicotiana,NDUFS1,Nuclear,Mitochondria,I,1352.19
Nicotiana,NDUFA2,Nuclear,Mitochondria,I,1135.59
Nicotiana,NDUFA5,Nuclear,Mitochondria,I,1571.16
Nicotiana,NDUFS4,Nuclear,Mitochondria,I,1895.59
Nicotiana,sdh5,Nuclear,Mitochondria,II,1173.01
Nicotiana,sdh1,Nuclear,Mitochondria,II,1704.18
Nicotiana,sdh2,Nuclear,Mitochondria,II,2023.22
Nicotiana,sdh6,Nuclear,Mitochondria,II,791.61
Nicotiana,sdh7,Nuclear,Mitochondria,II,1090.94
Nicotiana,cyc1,Nuclear,Mitochondria,III,1360.66
Nicotiana,mppalpha,Nuclear,Mitochondria,III,1191.95
Nicotiana,qcr6,Nuclear,Mitochondria,III,3185.66
Nicotiana,qcr7,Nuclear,Mitochondria,III,2223.11
Nicotiana,qcr9,Nuclear,Mitochondria,III,1730.58
Nicotiana,ucr1,Nuclear,Mitochondria,III,1568.78
Nicotiana,ucrq,Nuclear,Mitochondria,III,1229.87
Nicotiana,cox5b,Nuclear,Mitochondria,IV,1140.39
Nicotiana,cox5c,Nuclear,Mitochondria,IV,3169.66
Nicotiana,cox6a,Nuclear,Mitochondria,IV,2373.27
Nicotiana,cox6b,Nuclear,Mitochondria,IV,3079.82
Nicotiana,cox6c,Nuclear,Mitochondria,IV,279.58
Nicotiana,atp15,Nuclear,Mitochondria,V,964.18
Nicotiana,atp16,Nuclear,Mitochondria,V,507.27
Nicotiana,atp17,Nuclear,Mitochondria,V,2747.5
Nicotiana,atp2,Nuclear,Mitochondria,V,3145.64
Nicotiana,atp3,Nuclear,Mitochondria,V,1750.33
Nicotiana,atp5,Nuclear,Mitochondria,V,2408.05
Nicotiana,atp7,Nuclear,Mitochondria,V,731.03
Sconica,nad1,Mitochondria,Mitochondria,I,29724.64
Sconica,nad2,Mitochondria,Mitochondria,I,34031.49
Sconica,nad3,Mitochondria,Mitochondria,I,21865.62
Sconica,nad4,Mitochondria,Mitochondria,I,57717.5
Sconica,nad4L,Mitochondria,Mitochondria,I,846.93
Sconica,nad5,Mitochondria,Mitochondria,I,42355.02
Sconica,nad6,Mitochondria,Mitochondria,I,64284.84
Sconica,nad7,Mitochondria,Mitochondria,I,55746.55
Sconica,nad9,Mitochondria,Mitochondria,I,55256.33
Sconica,cob,Mitochondria,Mitochondria,III,125521.01
Sconica,cox1,Mitochondria,Mitochondria,IV,90672.11
Sconica,cox2,Mitochondria,Mitochondria,IV,56532.02
Sconica,cox3,Mitochondria,Mitochondria,IV,84653.57
Sconica,atp1,Mitochondria,Mitochondria,V,153854.46
Sconica,atp4,Mitochondria,Mitochondria,V,49500.44
Sconica,atp6,Mitochondria,Mitochondria,V,96695.9
Sconica,atp8,Mitochondria,Mitochondria,V,38064.66
Sconica,atp9,Mitochondria,Mitochondria,V,374493.48
Sconica,NDUFA12b,Nuclear,Mitochondria,I,2037.15
Sconica,NDUSF8b,Nuclear,Mitochondria,I,2287.91
Sconica,FPBP11,Nuclear,Mitochondria,I,4349.07
Sconica,FPBP12,Nuclear,Mitochondria,I,2278.7
Sconica,NDUFB10a,Nuclear,Mitochondria,I,4654.37
Sconica,NDUSF8a,Nuclear,Mitochondria,I,1715.93
Sconica,NDUFA9,Nuclear,Mitochondria,I,2086.42
Sconica,NDU16,Nuclear,Mitochondria,I,2629.7
Sconica,NDUFA12a,Nuclear,Mitochondria,I,2037.15
Sconica,NDUFA11,Nuclear,Mitochondria,I,4575.82
Sconica,NDUFA8a1,Nuclear,Mitochondria,I,751.87
Sconica,NDUFA6,Nuclear,Mitochondria,I,6436.32
Sconica,NDUFB10b,Nuclear,Mitochondria,I,9443.1
Sconica,FPBP3,Nuclear,Mitochondria,I,5978.31
Sconica,NDUFS5a,Nuclear,Mitochondria,I,3424.22
Sconica,NDUFB9,Nuclear,Mitochondria,I,2088.62
Sconica,NDUFS7,Nuclear,Mitochondria,I,4187.64
Sconica,NDUFA8b1,Nuclear,Mitochondria,I,6675.63
Sconica,NDUFA8b2,Nuclear,Mitochondria,I,4511.24
Sconica,NDUFS1,Nuclear,Mitochondria,I,4158.19
Sconica,NDUFA2,Nuclear,Mitochondria,I,6317.16
Sconica,NDUFA5,Nuclear,Mitochondria,I,1973.89
Sconica,NDUFS4,Nuclear,Mitochondria,I,8221.97
Sconica,sdh3,Nuclear,Mitochondria,II,1962.79
Sconica,sdh5,Nuclear,Mitochondria,II,4803.33
Sconica,sdh1,Nuclear,Mitochondria,II,3467.33
Sconica,sdh2,Nuclear,Mitochondria,II,3290.36
Sconica,sdh6,Nuclear,Mitochondria,II,3395.25
Sconica,sdh7,Nuclear,Mitochondria,II,2153.16
Sconica,cyc1,Nuclear,Mitochondria,III,5635.32
Sconica,mppalpha,Nuclear,Mitochondria,III,5586.21
Sconica,qcr7,Nuclear,Mitochondria,III,16933.52
Sconica,qcr9,Nuclear,Mitochondria,III,2925.73
Sconica,ucr1,Nuclear,Mitochondria,III,8218.01
Sconica,ucrq,Nuclear,Mitochondria,III,12637.23
Sconica,cox5b,Nuclear,Mitochondria,IV,293.13
Sconica,cox6a,Nuclear,Mitochondria,IV,10526.23
Sconica,cox6b,Nuclear,Mitochondria,IV,4914.74
Sconica,cox6c,Nuclear,Mitochondria,IV,4481.01
Sconica,atp15,Nuclear,Mitochondria,V,61495.05
Sconica,atp16,Nuclear,Mitochondria,V,4833.55
Sconica,atp17,Nuclear,Mitochondria,V,7322.23
Sconica,atp2,Nuclear,Mitochondria,V,8261.07
Sconica,atp3,Nuclear,Mitochondria,V,5525.01
Sconica,atp5,Nuclear,Mitochondria,V,10765.19
Sconica,atp7,Nuclear,Mitochondria,V,7058.04
Smacrodonta,nad1,Mitochondria,Mitochondria,I,33981.98
Smacrodonta,nad2,Mitochondria,Mitochondria,I,32972.47
Smacrodonta,nad3,Mitochondria,Mitochondria,I,5734.46
Smacrodonta,nad4,Mitochondria,Mitochondria,I,32621.03
Smacrodonta,nad4L,Mitochondria,Mitochondria,I,22266.17
Smacrodonta,nad5,Mitochondria,Mitochondria,I,33340.41
Smacrodonta,nad6,Mitochondria,Mitochondria,I,75192.63
Smacrodonta,nad7,Mitochondria,Mitochondria,I,32912.81
Smacrodonta,nad9,Mitochondria,Mitochondria,I,74067.54
Smacrodonta,cob,Mitochondria,Mitochondria,III,116116.94
Smacrodonta,cox1,Mitochondria,Mitochondria,IV,151984.51
Smacrodonta,cox2,Mitochondria,Mitochondria,IV,75154.21
Smacrodonta,cox3,Mitochondria,Mitochondria,IV,76418.86
Smacrodonta,atp1,Mitochondria,Mitochondria,V,161302.05
Smacrodonta,atp4,Mitochondria,Mitochondria,V,52421.25
Smacrodonta,atp6,Mitochondria,Mitochondria,V,112776.13
Smacrodonta,atp8,Mitochondria,Mitochondria,V,26497.29
Smacrodonta,atp9,Mitochondria,Mitochondria,V,274960.5
Smacrodonta,NDUFA11,Nuclear,Mitochondria,I,5476.39
Smacrodonta,NDUFA12a,Nuclear,Mitochondria,I,812.06
Smacrodonta,NDUFA12b,Nuclear,Mitochondria,I,1218.09
Smacrodonta,NDUFA2,Nuclear,Mitochondria,I,6032.78
Smacrodonta,NDUFA5,Nuclear,Mitochondria,I,591.04
Smacrodonta,NDUFA6,Nuclear,Mitochondria,I,6251.53
Smacrodonta,NDUFA8b2,Nuclear,Mitochondria,I,898.28
Smacrodonta,NDUFA9,Nuclear,Mitochondria,I,1583.59
Smacrodonta,NDUFB10b,Nuclear,Mitochondria,I,2417.48
Smacrodonta,NDUFB7,Nuclear,Mitochondria,I,2024.2
Smacrodonta,NDUFB9,Nuclear,Mitochondria,I,1389.55
Smacrodonta,NDUFS1,Nuclear,Mitochondria,I,3499.13
Smacrodonta,NDUFS4,Nuclear,Mitochondria,I,5100.76
Smacrodonta,NDUFS5b,Nuclear,Mitochondria,I,16271.47
Smacrodonta,NDUFS6,Nuclear,Mitochondria,I,4906.43
Smacrodonta,NDUFS7,Nuclear,Mitochondria,I,2004.99
Smacrodonta,NDUFV2,Nuclear,Mitochondria,I,1651.12
Smacrodonta,NDUSF8a,Nuclear,Mitochondria,I,1026.82
Smacrodonta,NDUSF8b,Nuclear,Mitochondria,I,342.27
Smacrodonta,FPBP11,Nuclear,Mitochondria,I,1157.66
Smacrodonta,FPBP12,Nuclear,Mitochondria,I,1168.06
Smacrodonta,FPBP3,Nuclear,Mitochondria,I,4010.37
Smacrodonta,sdh1,Nuclear,Mitochondria,II,2141.44
Smacrodonta,sdh2,Nuclear,Mitochondria,II,1608.46
Smacrodonta,sdh6,Nuclear,Mitochondria,II,4466.32
Smacrodonta,sdh7,Nuclear,Mitochondria,II,2572.39
Smacrodonta,sdh3,Nuclear,Mitochondria,II,2165.64
Smacrodonta,sdh4,Nuclear,Mitochondria,II,533.8
Smacrodonta,sdh5,Nuclear,Mitochondria,II,1374.27
Smacrodonta,qcr7,Nuclear,Mitochondria,III,18217.6
Smacrodonta,ucr1,Nuclear,Mitochondria,III,4497.87
Smacrodonta,mppalpha,Nuclear,Mitochondria,III,4307.6
Smacrodonta,cyc1,Nuclear,Mitochondria,III,4638.89
Smacrodonta,cox5b,Nuclear,Mitochondria,IV,4580.95
Smacrodonta,cox6a,Nuclear,Mitochondria,IV,6287.94
Smacrodonta,cox6b,Nuclear,Mitochondria,IV,5535.02
Smacrodonta,cox6c,Nuclear,Mitochondria,IV,5304.96
Smacrodonta,atp15,Nuclear,Mitochondria,V,32985.34
Smacrodonta,atp16,Nuclear,Mitochondria,V,5702.4
Smacrodonta,atp17,Nuclear,Mitochondria,V,5787.2
Smacrodonta,atp2,Nuclear,Mitochondria,V,7571.04
Smacrodonta,atp3,Nuclear,Mitochondria,V,6873.95
Smacrodonta,atp5,Nuclear,Mitochondria,V,6822.35
Smacrodonta,atp7,Nuclear,Mitochondria,V,6943.3
Snoctiflora,nad1,Mitochondria,Mitochondria,I,34109.54
Snoctiflora,nad2,Mitochondria,Mitochondria,I,52034.41
Snoctiflora,nad3,Mitochondria,Mitochondria,I,16321.65
Snoctiflora,nad4,Mitochondria,Mitochondria,I,26407.05
Snoctiflora,nad4L,Mitochondria,Mitochondria,I,29312.88
Snoctiflora,nad5,Mitochondria,Mitochondria,I,65596.82
Snoctiflora,nad6,Mitochondria,Mitochondria,I,36321.89
Snoctiflora,nad7,Mitochondria,Mitochondria,I,43000.35
Snoctiflora,nad9,Mitochondria,Mitochondria,I,29713.26
Snoctiflora,cob,Mitochondria,Mitochondria,III,58304.56
Snoctiflora,cox1,Mitochondria,Mitochondria,IV,69359.41
Snoctiflora,cox2,Mitochondria,Mitochondria,IV,46532.85
Snoctiflora,cox3,Mitochondria,Mitochondria,IV,78203.67
Snoctiflora,atp1,Mitochondria,Mitochondria,V,54383.34
Snoctiflora,atp4,Mitochondria,Mitochondria,V,47005.3
Snoctiflora,atp6,Mitochondria,Mitochondria,V,149626.13
Snoctiflora,atp8,Mitochondria,Mitochondria,V,38990.7
Snoctiflora,atp9,Mitochondria,Mitochondria,V,715488.19
Snoctiflora,NDUFA2,Nuclear,Mitochondria,I,1465.7
Snoctiflora,NDUFA1,Nuclear,Mitochondria,I,1511.85
Snoctiflora,NDUFS5b,Nuclear,Mitochondria,I,626.61
Snoctiflora,NDUFS5a,Nuclear,Mitochondria,I,630.32
Snoctiflora,NDUFA8a2,Nuclear,Mitochondria,I,252.92
Snoctiflora,NDUFA8b1,Nuclear,Mitochondria,I,311.28
Snoctiflora,FPBP11,Nuclear,Mitochondria,I,396.89
Snoctiflora,NDUFB10a,Nuclear,Mitochondria,I,877.02
Snoctiflora,NDUFB10b,Nuclear,Mitochondria,I,910.59
Snoctiflora,NDUFB7,Nuclear,Mitochondria,I,879.45
Snoctiflora,NDUFB9,Nuclear,Mitochondria,I,455.65
Snoctiflora,NDUFA6,Nuclear,Mitochondria,I,1330.11
Snoctiflora,NDUFS6,Nuclear,Mitochondria,I,5381.74
Snoctiflora,NDUFA11,Nuclear,Mitochondria,I,1756.98
Snoctiflora,NDUFS4,Nuclear,Mitochondria,I,722.98
Snoctiflora,NDUFA8a1,Nuclear,Mitochondria,I,281.47
Snoctiflora,NDUFA8b2,Nuclear,Mitochondria,I,237.36
Snoctiflora,NDUFA12b,Nuclear,Mitochondria,I,574.9
Snoctiflora,NDUFA12a,Nuclear,Mitochondria,I,581.71
Snoctiflora,NDUFA5,Nuclear,Mitochondria,I,918.25
Snoctiflora,NDU16,Nuclear,Mitochondria,I,2179.61
Snoctiflora,FPBP3,Nuclear,Mitochondria,I,587.1
Snoctiflora,NDUFS7,Nuclear,Mitochondria,I,1543.13
Snoctiflora,NDUFV2,Nuclear,Mitochondria,I,1132.16
Snoctiflora,NDUSF8b,Nuclear,Mitochondria,I,402.26
Snoctiflora,NDUSF8a,Nuclear,Mitochondria,I,416.93
Snoctiflora,NDUFA9,Nuclear,Mitochondria,I,485.34
Snoctiflora,NDUFS1,Nuclear,Mitochondria,I,1006.27
Snoctiflora,FPBP12,Nuclear,Mitochondria,I,236.27
Snoctiflora,sdh3,Nuclear,Mitochondria,II,438.17
Snoctiflora,sdh4,Nuclear,Mitochondria,II,660.14
Snoctiflora,sdh5,Nuclear,Mitochondria,II,600.01
Snoctiflora,sdh1,Nuclear,Mitochondria,II,763.22
Snoctiflora,sdh2,Nuclear,Mitochondria,II,517.25
Snoctiflora,sdh6,Nuclear,Mitochondria,II,816.31
